country,year,wpp_pop,nso_pop,abs_dif,rel_dif
Northern Ireland,2016,1861782.1999999993,1862137,354.80000000074506,1.9057008924069915e-4
Northern Ireland,2017,1871675.9000000004,1870834,-841.9000000003725,-4.498107818775528e-4
Northern Ireland,2018,1882270.0999999994,1881641,-629.0999999993946,-3.34224083992725e-4
Northern Ireland,2019,1889824.5999999996,1893667,3842.4000000003725,0.0020332045630056745
Northern Ireland,2020,1896860.3000000003,1895510,-1350.3000000002794,-7.118605413378514e-4
Northern Ireland,2021,1903357.2,1901631,-1726.1999999999534,-9.069238291162339e-4
Norway,2015,5199827,5189893.5,-9933.5,-0.0019103520174805816
Norway,2016,5250950,5236151,-14799,-0.002818347156228873
Norway,2017,5296324,5276968,-19356,-0.0036546102542065026
Norway,2018,5337960,5311915.5,-26044.5,-0.004879111121102443
Norway,2019,5378859,5347896,-30963,-0.0057564252939145645
Norway,2020,5421242,5379624.5,-41617.5,-0.00767674639870347
Norway,2021,5465629,5404773,-60856,-0.011134308603822177
Poland,2015,38034076,38454576,420500,0.011055875263014145
Poland,2016,37989218,38426809,437591,0.011518820945458788
Poland,2017,37953176,38422346,469170,0.012361811301378308
Poland,2018,37921585,38413139,491554,0.012962380132581483
Poland,2019,37887771,38386476,498705,0.013162690410053418
Poland,2020,37846605,38354173,507568,0.013411189722301379
Poland,2021,37797000,38162224,365224,0.009662777469111304
Portugal,2015,10368346,10358076,-10270,-9.905147841323969e-4
Portugal,2016,10325540,10325451.5,-88.5,-8.570980307083213e-6
Portugal,2017,10288527,10300300,11773,0.0011442843081424581
Portugal,2018,10256192,10283822,27630,0.0026939823279439386
Portugal,2019,10226178,10286263,60085,0.005875606702719237
Portugal,2020,10196707,10297080.5,100373.5,0.009843717192226863
Scotland,2015,5375188.4,5373000,-2188.4000000003725,-4.071299156696298e-4
Scotland,2016,5402401.7,5404700,2298.2999999998137,4.254219007816123e-4
Scotland,2017,5423914.800000003,5424800,885.1999999973923,1.6320315355937962e-4
Scotland,2018,5441973.000000001,5438100,-3873.0000000009313,-7.11690410812573e-4
Scotland,2019,5437115.099999999,5463300,26184.900000001304,0.004815954696269224
Scotland,2020,5431007.5,5466000,34992.5,0.006443095502998293
Scotland,2021,5423568.000000002,5469387,45818.99999999814,0.008448128612013
Slovakia,2015,5435614,5423800.5,-11813.5,-0.002173351529376442
Slovakia,2016,5442001,5430797.5,-11203.5,-0.0020587096547758812
Slovakia,2017,5447903,5439231.5,-8671.5,-0.001591713362003692
Slovakia,2018,5453017,5446770.5,-6246.5,-0.0011455126584054296
Slovakia,2019,5457012,5454147,-2865,-5.250125893071153e-4
Slovakia,2020,5459643,5458827,-816,-1.4946032185620927e-4
Slovenia,2015,2071199,2063077,-8122,-0.003921400116550848
Slovenia,2016,2074205,2064241,-9964,-0.004803768190704391
Slovenia,2017,2076395,2066161,-10234,-0.004928734657904686
Slovenia,2018,2077836,2070050,-7786,-0.003747167726423067
Slovenia,2019,2078654,2089310,10656,0.0051263942916906806
Slovenia,2020,2078932,2100126,21194,0.010194657641519781
Slovenia,2021,2078723,2107007,28284,0.013606430486409204
Spain,2015,46671919,46410149,-261770,-0.0056087258807592634
Spain,2016,46634131,46449878,-184253,-0.003951033203556425
Spain,2017,46647425,46532876,-114549,-0.0024556339390652323
Spain,2018,46692863,46728814,35951,7.699463620382413e-4
Spain,2019,46736782,47105357,368575,0.007886186943722399
Spain,2020,46754783,47355685,600902,0.012852203805544344
Spain,2021,46745211,47326690,581479,0.012439327742043992
Sweden,2015,9764949,9799186,34237,0.0035061115014527982
Sweden,2016,9836003,9923085,87082,0.008853392989001731
Sweden,2017,9904895,10057697.5,152802.5,0.0154269681808843
Sweden,2018,9971630,10175213.5,203583.5,0.02041627096071555
Sweden,2019,10036391,10278887,242496,0.024161673254858244
Sweden,2020,10099270,10353442,254172,0.025167363581724222
Sweden,2021,10160159,10403798,243639,0.02397984126035823
Switzerland,2015,8296775,8282396,-14379,-0.0017330830352757548
Switzerland,2016,8379915,8373338,-6577,-7.848528296528067e-4
Switzerland,2017,8455797,8451840,-3957,-4.679629844472378e-4
Switzerland,2018,8525614,8514328.5,-11285.5,-0.00132371697803818
Switzerland,2019,8591361,8575280,-16081,-0.001871763973135339
Switzerland,2020,8654618,8638166.5,-16451.5,-0.0019008926794920353
Switzerland,2021,8715494,8715836,342,3.924046072431465e-5
USA,2015,320878312,320738994,-139318,-4.34177053387142e-4
USA,2016,323015992,323071755,55763,1.7263231970261088e-4
USA,2017,325084758,325122128,37370,1.1495463592297981e-4
USA,2018,327096263,326838199,-258064,-7.889542901931595e-4
USA,2019,329064917,328329953,-734964,-0.0022334924266630344
USA,2020,331002647,329484123,-1518524,-0.004587649113271291
USA,2021,332915074,334998398,2083324,0.006257824180109069
